subject	object	count	list
PhenotypicFeature	Disease	4	['BioLink API', 'BioThings SEMMEDDB API', 'Multiomics EHR Risk KP API', 'MyDisease.info API']
Disease	Disease	4	['BioThings SEMMEDDB API', 'Multiomics EHR Risk KP API', 'MyDisease.info API', 'Ontology Lookup Service API']
SmallMolecule	MolecularActivity	4	['BioThings Rhea API', 'BioThings SEMMEDDB API', 'CTD API', 'MyChem.info API']
SmallMolecule	PhenotypicFeature	4	['BioThings IDISK API', 'BioThings SEMMEDDB API', 'Multiomics EHR Risk KP API', 'Text Mining Targeted Association API']
PhenotypicFeature	Gene	4	['BioLink API', 'BioThings MGIgene2phenotype API', 'BioThings SEMMEDDB API', 'Text Mining Targeted Association API']
SmallMolecule	SmallMolecule	4	['BioThings DDInter API', 'BioThings IDISK API', 'BioThings SEMMEDDB API', 'Multiomics Wellness KP API']
SequenceVariant	Gene	3	['BioLink API', 'LitVar API', 'MyVariant.info API']
MolecularActivity	MolecularActivity	3	['BioThings GO Molecular Function API', 'BioThings SEMMEDDB API', 'QuickGO API']
PhenotypicFeature	PhenotypicFeature	3	['BioThings HPO API', 'BioThings SEMMEDDB API', 'Multiomics EHR Risk KP API']
SequenceVariant	Disease	3	['BioLink API', 'MyDisease.info API', 'MyVariant.info API']
MolecularActivity	SmallMolecule	3	['BioThings Rhea API', 'BioThings SEMMEDDB API', 'MyChem.info API']
Pathway	Gene	3	['BioThings BioPlanet Pathway-Gene API', 'CTD API', 'MyGene.info API']
Disease	SequenceVariant	3	['BioLink API', 'MyDisease.info API', 'MyVariant.info API']
Gene	MolecularActivity	3	['BioThings SEMMEDDB API', 'EBI Proteins API', 'MyGene.info API']
Gene	SequenceVariant	2	['BioLink API', 'MyVariant.info API']
Disease	Pathway	2	['BioLink API', 'BioThings BioPlanet Pathway-Disease API']
PhenotypicFeature	Procedure	2	['BioThings SEMMEDDB API', 'Multiomics EHR Risk KP API']
Disease	Procedure	2	['BioThings SEMMEDDB API', 'Multiomics EHR Risk KP API']
Gene	Pathway	2	['BioThings BioPlanet Pathway-Gene API', 'MyGene.info API']
GrossAnatomicalStructure	Gene	2	['BioLink API', 'BioThings SEMMEDDB API']
Procedure	Disease	2	['BioThings SEMMEDDB API', 'Multiomics EHR Risk KP API']
Gene	GrossAnatomicalStructure	2	['BioLink API', 'BioThings SEMMEDDB API']
Procedure	PhenotypicFeature	2	['BioThings SEMMEDDB API', 'Multiomics EHR Risk KP API']
Procedure	SmallMolecule	2	['BioThings SEMMEDDB API', 'Multiomics EHR Risk KP API']
Gene	CellularComponent	2	['BioThings SEMMEDDB API', 'MyGene.info API']
CellularComponent	CellularComponent	2	['BioThings GO Cellular Component API', 'BioThings SEMMEDDB API']
CellularComponent	Gene	2	['BioThings SEMMEDDB API', 'MyGene.info API']
SmallMolecule	Protein	2	['BioThings SEMMEDDB API', 'Multiomics Wellness KP API']
SmallMolecule	Procedure	2	['BioThings SEMMEDDB API', 'Multiomics EHR Risk KP API']
Protein	SmallMolecule	2	['BioThings SEMMEDDB API', 'Multiomics Wellness KP API']
SmallMolecule	CellularComponent	2	['BioThings SEMMEDDB API', 'CTD API']
MolecularActivity	Gene	2	['BioThings SEMMEDDB API', 'MyGene.info API']
Pathway	Disease	2	['BioLink API', 'BioThings BioPlanet Pathway-Disease API']
PathologicalProcess	SmallMolecule	1	['BioThings SEMMEDDB API']
PhysiologicalProcess	PhenotypicFeature	1	['BioThings SEMMEDDB API']
PhysiologicalProcess	Procedure	1	['BioThings SEMMEDDB API']
PathologicalProcess	Protein	1	['BioThings SEMMEDDB API']
PathologicalProcess	Polypeptide	1	['BioThings SEMMEDDB API']
PhysiologicalProcess	PhysiologicalProcess	1	['BioThings SEMMEDDB API']
PathologicalProcess	PhysiologicalProcess	1	['BioThings SEMMEDDB API']
PathologicalProcess	PhenotypicFeature	1	['BioThings SEMMEDDB API']
PhysiologicalProcess	Polypeptide	1	['BioThings SEMMEDDB API']
PathologicalProcess	Procedure	1	['BioThings SEMMEDDB API']
PhysiologicalProcess	MolecularActivity	1	['BioThings SEMMEDDB API']
PhysiologicalProcess	PathologicalProcess	1	['BioThings SEMMEDDB API']
PhenotypicFeature	SequenceVariant	1	['BioLink API']
PhenotypicFeature	ChemicalEntity	1	['BioThings SEMMEDDB API']
PhysiologicalProcess	GrossAnatomicalStructure	1	['BioThings SEMMEDDB API']
PhysiologicalProcess	Gene	1	['BioThings SEMMEDDB API']
PhysiologicalProcess	Food	1	['BioThings SEMMEDDB API']
PhysiologicalProcess	Disease	1	['BioThings SEMMEDDB API']
PhenotypicFeature	GrossAnatomicalStructure	1	['BioThings SEMMEDDB API']
PhenotypicFeature	PathologicalProcess	1	['BioThings SEMMEDDB API']
PhysiologicalProcess	ChemicalEntity	1	['BioThings SEMMEDDB API']
PhysiologicalProcess	CellularComponent	1	['BioThings SEMMEDDB API']
PhysiologicalProcess	Cell	1	['BioThings SEMMEDDB API']
PhenotypicFeature	PhysiologicalProcess	1	['BioThings SEMMEDDB API']
PhenotypicFeature	Polypeptide	1	['BioThings SEMMEDDB API']
AnatomicalEntity	AnatomicalEntity	1	['BioThings UBERON API']
Polypeptide	MolecularActivity	1	['BioThings SEMMEDDB API']
PhysiologicalProcess	Protein	1	['BioThings SEMMEDDB API']
Procedure	Polypeptide	1	['BioThings SEMMEDDB API']
Protein	CellularComponent	1	['BioThings SEMMEDDB API']
Protein	ClinicalFinding	1	['Multiomics Wellness KP API']
Protein	Disease	1	['BioThings SEMMEDDB API']
Protein	Gene	1	['BioThings SEMMEDDB API']
Protein	GrossAnatomicalStructure	1	['BioThings SEMMEDDB API']
Protein	MolecularActivity	1	['BioThings SEMMEDDB API']
Protein	PathologicalProcess	1	['BioThings SEMMEDDB API']
Protein	PhysiologicalProcess	1	['BioThings SEMMEDDB API']
Protein	Polypeptide	1	['BioThings SEMMEDDB API']
Protein	Protein	1	['Multiomics Wellness KP API']
SequenceVariant	PhenotypicFeature	1	['BioLink API']
SmallMolecule	BiologicalProcess	1	['CTD API']
SmallMolecule	Cell	1	['BioThings SEMMEDDB API']
SmallMolecule	ChemicalEntity	1	['BioThings SEMMEDDB API']
SmallMolecule	ClinicalFinding	1	['Multiomics Wellness KP API']
SmallMolecule	GrossAnatomicalStructure	1	['BioThings SEMMEDDB API']
SmallMolecule	PathologicalProcess	1	['BioThings SEMMEDDB API']
SmallMolecule	PhysiologicalProcess	1	['BioThings SEMMEDDB API']
SmallMolecule	Polypeptide	1	['BioThings SEMMEDDB API']
Procedure	Procedure	1	['BioThings SEMMEDDB API']
Procedure	PhysiologicalProcess	1	['BioThings SEMMEDDB API']
PhysiologicalProcess	SmallMolecule	1	['BioThings SEMMEDDB API']
Procedure	PathologicalProcess	1	['BioThings SEMMEDDB API']
Polypeptide	Cell	1	['BioThings SEMMEDDB API']
Polypeptide	CellularComponent	1	['BioThings SEMMEDDB API']
Polypeptide	ChemicalEntity	1	['BioThings SEMMEDDB API']
Polypeptide	Disease	1	['BioThings SEMMEDDB API']
Polypeptide	Gene	1	['BioThings SEMMEDDB API']
Polypeptide	GrossAnatomicalStructure	1	['BioThings SEMMEDDB API']
PathologicalProcess	GrossAnatomicalStructure	1	['BioThings SEMMEDDB API']
Polypeptide	PathologicalProcess	1	['BioThings SEMMEDDB API']
Polypeptide	PhenotypicFeature	1	['BioThings SEMMEDDB API']
Polypeptide	PhysiologicalProcess	1	['BioThings SEMMEDDB API']
Polypeptide	Polypeptide	1	['BioThings SEMMEDDB API']
Polypeptide	Procedure	1	['BioThings SEMMEDDB API']
Polypeptide	Protein	1	['BioThings SEMMEDDB API']
Polypeptide	SmallMolecule	1	['BioThings SEMMEDDB API']
Procedure	Cell	1	['BioThings SEMMEDDB API']
Procedure	CellularComponent	1	['BioThings SEMMEDDB API']
Procedure	ChemicalEntity	1	['BioThings SEMMEDDB API']
Procedure	GrossAnatomicalStructure	1	['BioThings SEMMEDDB API']
Procedure	MolecularActivity	1	['BioThings SEMMEDDB API']
PathologicalProcess	PathologicalProcess	1	['BioThings SEMMEDDB API']
MolecularActivity	Polypeptide	1	['BioThings SEMMEDDB API']
PathologicalProcess	Gene	1	['BioThings SEMMEDDB API']
ChemicalEntity	PhenotypicFeature	1	['BioThings SEMMEDDB API']
CellularComponent	SmallMolecule	1	['BioThings SEMMEDDB API']
ChemicalEntity	Cell	1	['BioThings SEMMEDDB API']
ChemicalEntity	CellularComponent	1	['BioThings SEMMEDDB API']
ChemicalEntity	ChemicalEntity	1	['BioThings SEMMEDDB API']
ChemicalEntity	Disease	1	['BioThings SEMMEDDB API']
ChemicalEntity	Gene	1	['BioThings SEMMEDDB API']
ChemicalEntity	GrossAnatomicalStructure	1	['BioThings SEMMEDDB API']
ChemicalEntity	MolecularActivity	1	['BioThings SEMMEDDB API']
ChemicalEntity	PathologicalProcess	1	['BioThings SEMMEDDB API']
ChemicalEntity	PhysiologicalProcess	1	['BioThings SEMMEDDB API']
PathologicalProcess	Food	1	['BioThings SEMMEDDB API']
ChemicalEntity	Polypeptide	1	['BioThings SEMMEDDB API']
ChemicalEntity	Procedure	1	['BioThings SEMMEDDB API']
ChemicalEntity	SmallMolecule	1	['BioThings SEMMEDDB API']
ClinicalFinding	ClinicalFinding	1	['Multiomics Wellness KP API']
ClinicalFinding	Protein	1	['Multiomics Wellness KP API']
ClinicalFinding	SmallMolecule	1	['Multiomics Wellness KP API']
Disease	Cell	1	['BioThings SEMMEDDB API']
Disease	CellularComponent	1	['BioThings SEMMEDDB API']
Disease	ChemicalEntity	1	['BioThings SEMMEDDB API']
CellularComponent	Protein	1	['BioThings SEMMEDDB API']
CellularComponent	Procedure	1	['BioThings SEMMEDDB API']
CellularComponent	Polypeptide	1	['BioThings SEMMEDDB API']
CellularComponent	PhysiologicalProcess	1	['BioThings SEMMEDDB API']
BiologicalProcess	Gene	1	['MyGene.info API']
Cell	Cell	1	['BioThings SEMMEDDB API']
Cell	CellularComponent	1	['BioThings SEMMEDDB API']
Cell	ChemicalEntity	1	['BioThings SEMMEDDB API']
Cell	Disease	1	['BioThings SEMMEDDB API']
Cell	Gene	1	['BioThings SEMMEDDB API']
Cell	GrossAnatomicalStructure	1	['BioThings SEMMEDDB API']
Cell	MolecularActivity	1	['BioThings SEMMEDDB API']
Cell	PathologicalProcess	1	['BioThings SEMMEDDB API']
Cell	PhysiologicalProcess	1	['BioThings SEMMEDDB API']
Cell	Polypeptide	1	['BioThings SEMMEDDB API']
Cell	Procedure	1	['BioThings SEMMEDDB API']
Cell	SmallMolecule	1	['BioThings SEMMEDDB API']
CellularComponent	Cell	1	['BioThings SEMMEDDB API']
CellularComponent	ChemicalEntity	1	['BioThings SEMMEDDB API']
CellularComponent	Disease	1	['BioThings SEMMEDDB API']
CellularComponent	GrossAnatomicalStructure	1	['BioThings SEMMEDDB API']
CellularComponent	MolecularActivity	1	['BioThings SEMMEDDB API']
CellularComponent	PathologicalProcess	1	['BioThings SEMMEDDB API']
Disease	Drug	1	['BioThings SEMMEDDB API']
Disease	Food	1	['BioThings SEMMEDDB API']
Disease	GrossAnatomicalStructure	1	['BioThings SEMMEDDB API']
GrossAnatomicalStructure	GrossAnatomicalStructure	1	['BioThings SEMMEDDB API']
GrossAnatomicalStructure	PhenotypicFeature	1	['BioThings SEMMEDDB API']
GrossAnatomicalStructure	PhysiologicalProcess	1	['BioThings SEMMEDDB API']
GrossAnatomicalStructure	Polypeptide	1	['BioThings SEMMEDDB API']
GrossAnatomicalStructure	Procedure	1	['BioThings SEMMEDDB API']
GrossAnatomicalStructure	Protein	1	['BioThings SEMMEDDB API']
GrossAnatomicalStructure	SmallMolecule	1	['BioThings SEMMEDDB API']
MolecularActivity	Cell	1	['BioThings SEMMEDDB API']
MolecularActivity	CellularComponent	1	['BioThings SEMMEDDB API']
MolecularActivity	ChemicalEntity	1	['BioThings SEMMEDDB API']
MolecularActivity	Disease	1	['BioThings SEMMEDDB API']
MolecularActivity	PhysiologicalProcess	1	['BioThings SEMMEDDB API']
BiologicalProcess	BiologicalProcess	1	['BioThings GO Biological Process API']
MolecularActivity	Procedure	1	['BioThings SEMMEDDB API']
MolecularActivity	Protein	1	['BioThings SEMMEDDB API']
PathologicalProcess	Cell	1	['BioThings SEMMEDDB API']
PathologicalProcess	CellularComponent	1	['BioThings SEMMEDDB API']
PathologicalProcess	ChemicalEntity	1	['BioThings SEMMEDDB API']
PathologicalProcess	Disease	1	['BioThings SEMMEDDB API']
PathologicalProcess	Drug	1	['BioThings SEMMEDDB API']
GrossAnatomicalStructure	PathologicalProcess	1	['BioThings SEMMEDDB API']
GrossAnatomicalStructure	Disease	1	['BioThings SEMMEDDB API']
Disease	MolecularActivity	1	['BioThings SEMMEDDB API']
GrossAnatomicalStructure	ChemicalEntity	1	['BioThings SEMMEDDB API']
Disease	PathologicalProcess	1	['BioThings SEMMEDDB API']
Disease	PhysiologicalProcess	1	['BioThings SEMMEDDB API']
Disease	Polypeptide	1	['BioThings SEMMEDDB API']
Disease	Protein	1	['BioThings SEMMEDDB API']
Disease	Treatment	1	['Multiomics ClinicalTrials KP']
Drug	Disease	1	['BioThings SEMMEDDB API']
Drug	PathologicalProcess	1	['BioThings SEMMEDDB API']
Food	Disease	1	['BioThings SEMMEDDB API']
Food	PathologicalProcess	1	['BioThings SEMMEDDB API']
Food	PhysiologicalProcess	1	['BioThings SEMMEDDB API']
Gene	BiologicalProcess	1	['MyGene.info API']
Gene	Cell	1	['BioThings SEMMEDDB API']
Gene	ChemicalEntity	1	['BioThings SEMMEDDB API']
Gene	PathologicalProcess	1	['BioThings SEMMEDDB API']
Gene	PhysiologicalProcess	1	['BioThings SEMMEDDB API']
Gene	Polypeptide	1	['BioThings SEMMEDDB API']
Gene	Protein	1	['BioThings SEMMEDDB API']
GrossAnatomicalStructure	Cell	1	['BioThings SEMMEDDB API']
GrossAnatomicalStructure	CellularComponent	1	['BioThings SEMMEDDB API']
Treatment	Disease	1	['Multiomics ClinicalTrials KP']
