subject	object	count	list
Disease	Polypeptide	10	['related_to', 'caused_by', 'affected_by', 'has_predisposing_factor', 'produces', 'disrupted_by', 'treated_by', 'prevented_by', 'has_part', 'is_exacerbated_by']
PhysiologicalProcess	Disease	9	['occurs_in', 'related_to', 'caused_by', 'affected_by', 'affects', 'disrupted_by', 'coexists_with', 'preceded_by', 'has_manifestation']
AnatomicalEntity	AnatomicalEntity	9	['coexists_with', 'superclass_of', 'subclass_of', 'develops_from', 'develops_into', 'has_part', 'part_of', 'located_in', 'location_of']
PhenotypicFeature	Disease	9	['phenotype_of', 'associated_with', 'related_to', 'caused_by', 'coexists_with', 'causes', 'predisposes', 'diagnoses', 'manifestation_of']
PathologicalProcess	SmallMolecule	9	['treated_by', 'caused_by', 'related_to', 'prevented_by', 'affected_by', 'disrupted_by', 'has_predisposing_factor', 'produces', 'is_exacerbated_by']
Gene	Polypeptide	9	['affected_by', 'coexists_with', 'interacts_with', 'produces', 'affects', 'derives_from', 'produced_by', 'derives_into', 'has_part']
Polypeptide	Gene	9	['affects', 'coexists_with', 'interacts_with', 'produced_by', 'affected_by', 'derives_into', 'produces', 'derives_from', 'part_of']
Disease	PhenotypicFeature	9	['has_phenotype', 'associated_with', 'related_to', 'causes', 'coexists_with', 'caused_by', 'has_predisposing_factor', 'is_diagnosed_by', 'has_manifestation']
Disease	PhysiologicalProcess	9	['contains_process', 'related_to', 'causes', 'affects', 'affected_by', 'disrupts', 'coexists_with', 'precedes', 'manifestation_of']
Polypeptide	PathologicalProcess	9	['related_to', 'causes', 'affects', 'predisposes', 'prevents', 'disrupts', 'treats', 'produced_by', 'exacerbates']
Disease	Procedure	9	['associated_with', 'treated_by', 'is_diagnosed_by', 'caused_by', 'prevented_by', 'affected_by', 'preceded_by', 'has_predisposing_factor', 'is_exacerbated_by']
Polypeptide	SmallMolecule	9	['has_part', 'interacts_with', 'affects', 'coexists_with', 'affected_by', 'produces', 'derives_into', 'produced_by', 'derives_from']
Procedure	Disease	9	['associated_with', 'treats', 'diagnoses', 'causes', 'prevents', 'affects', 'precedes', 'predisposes', 'exacerbates']
SmallMolecule	PathologicalProcess	9	['treats', 'causes', 'related_to', 'prevents', 'affects', 'disrupts', 'predisposes', 'produced_by', 'exacerbates']
SmallMolecule	Polypeptide	9	['part_of', 'interacts_with', 'affected_by', 'coexists_with', 'affects', 'produced_by', 'derives_from', 'produces', 'derives_into']
PathologicalProcess	Polypeptide	9	['related_to', 'caused_by', 'affected_by', 'has_predisposing_factor', 'prevented_by', 'disrupted_by', 'treated_by', 'produces', 'is_exacerbated_by']
PathologicalProcess	Procedure	8	['treated_by', 'is_diagnosed_by', 'caused_by', 'prevented_by', 'affected_by', 'has_predisposing_factor', 'disrupted_by', 'is_exacerbated_by']
ChemicalEntity	Disease	8	['related_to', 'prevents', 'causes', 'produced_by', 'affects', 'predisposes', 'treats', 'disrupts']
Disease	ChemicalEntity	8	['related_to', 'prevented_by', 'caused_by', 'produces', 'affected_by', 'has_predisposing_factor', 'treated_by', 'disrupted_by']
Procedure	PathologicalProcess	8	['treats', 'diagnoses', 'causes', 'prevents', 'affects', 'predisposes', 'disrupts', 'exacerbates']
Gene	PhenotypicFeature	7	['related_to', 'causes', 'affects', 'disrupts', 'predisposes', 'gene_associated_with_condition', 'contributes_to']
PathologicalProcess	ChemicalEntity	7	['caused_by', 'related_to', 'produces', 'affected_by', 'has_predisposing_factor', 'disrupted_by', 'prevented_by']
Gene	ChemicalEntity	7	['affected_by', 'interacts_with', 'produces', 'coexists_with', 'affects', 'derives_into', 'derives_from']
PhenotypicFeature	PhenotypicFeature	7	['superclass_of', 'subclass_of', 'associated_with', 'coexists_with', 'causes', 'caused_by', 'related_to']
ChemicalEntity	Polypeptide	7	['interacts_with', 'coexists_with', 'affected_by', 'affects', 'derives_from', 'produced_by', 'part_of']
Polypeptide	ChemicalEntity	7	['interacts_with', 'coexists_with', 'affects', 'affected_by', 'derives_into', 'produces', 'has_part']
ChemicalEntity	PathologicalProcess	7	['causes', 'related_to', 'produced_by', 'affects', 'predisposes', 'disrupts', 'prevents']
PhenotypicFeature	Gene	7	['related_to', 'caused_by', 'affected_by', 'disrupted_by', 'has_predisposing_factor', 'condition_associated_with_gene', 'contribution_from']
ChemicalEntity	Gene	7	['affects', 'interacts_with', 'produced_by', 'coexists_with', 'affected_by', 'derives_from', 'derives_into']
PhenotypicFeature	Polypeptide	7	['related_to', 'affected_by', 'disrupted_by', 'has_predisposing_factor', 'caused_by', 'treated_by', 'prevented_by']
PhysiologicalProcess	PhysiologicalProcess	7	['coexists_with', 'affects', 'affected_by', 'causes', 'caused_by', 'precedes', 'preceded_by']
Polypeptide	PhenotypicFeature	7	['related_to', 'affects', 'disrupts', 'predisposes', 'causes', 'treats', 'prevents']
SmallMolecule	PhysiologicalProcess	6	['causes', 'disrupts', 'affects', 'affected_by', 'produced_by', 'related_to']
SmallMolecule	CellularComponent	6	['related_to', 'part_of', 'located_in', 'affects', 'produced_by', 'disrupts']
SmallMolecule	Cell	6	['located_in', 'part_of', 'affects', 'produced_by', 'disrupts', 'interacts_with']
Procedure	PhenotypicFeature	6	['associated_with', 'treats', 'prevents', 'diagnoses', 'causes', 'predisposes']
Gene	GrossAnatomicalStructure	6	['part_of', 'located_in', 'affects', 'disrupts', 'produced_by', 'expressed_in']
Gene	PathologicalProcess	6	['related_to', 'affects', 'causes', 'predisposes', 'disrupts', 'prevents']
Polypeptide	PhysiologicalProcess	6	['affects', 'disrupts', 'causes', 'affected_by', 'produced_by', 'related_to']
PhysiologicalProcess	Polypeptide	6	['affected_by', 'disrupted_by', 'caused_by', 'affects', 'produces', 'related_to']
Polypeptide	Cell	6	['located_in', 'produced_by', 'affects', 'part_of', 'disrupts', 'interacts_with']
PhysiologicalProcess	SmallMolecule	6	['caused_by', 'disrupted_by', 'affected_by', 'affects', 'produces', 'related_to']
PathologicalProcess	PhysiologicalProcess	6	['causes', 'affected_by', 'affects', 'precedes', 'disrupts', 'manifestation_of']
PhysiologicalProcess	PathologicalProcess	6	['caused_by', 'affects', 'affected_by', 'preceded_by', 'disrupted_by', 'has_manifestation']
PhenotypicFeature	Procedure	6	['associated_with', 'treated_by', 'prevented_by', 'is_diagnosed_by', 'caused_by', 'has_predisposing_factor']
GrossAnatomicalStructure	Gene	6	['has_part', 'location_of', 'affected_by', 'disrupted_by', 'produces', 'expresses']
BiologicalProcess	BiologicalProcess	6	['superclass_of', 'subclass_of', 'regulates', 'regulated_by', 'has_part', 'part_of']
Gene	Cell	6	['interacts_with', 'part_of', 'located_in', 'disrupts', 'produced_by', 'affects']
PathologicalProcess	Gene	6	['related_to', 'affected_by', 'caused_by', 'has_predisposing_factor', 'disrupted_by', 'prevented_by']
Gene	CellularComponent	6	['active_in', 'part_of', 'affects', 'located_in', 'disrupts', 'produced_by']
MolecularActivity	MolecularActivity	6	['superclass_of', 'subclass_of', 'part_of', 'has_part', 'causes', 'caused_by']
Cell	Polypeptide	6	['location_of', 'produces', 'affected_by', 'has_part', 'disrupted_by', 'interacts_with']
Cell	SmallMolecule	6	['location_of', 'has_part', 'affected_by', 'produces', 'disrupted_by', 'interacts_with']
Cell	Gene	6	['interacts_with', 'has_part', 'location_of', 'disrupted_by', 'produces', 'affected_by']
Cell	ChemicalEntity	6	['has_part', 'produces', 'affected_by', 'disrupted_by', 'location_of', 'interacts_with']
ChemicalEntity	ChemicalEntity	6	['coexists_with', 'interacts_with', 'affects', 'affected_by', 'derives_into', 'derives_from']
CellularComponent	Gene	6	['has_active_component', 'has_part', 'affected_by', 'location_of', 'disrupted_by', 'produces']
ChemicalEntity	Cell	6	['part_of', 'produced_by', 'affects', 'disrupts', 'located_in', 'interacts_with']
CellularComponent	SmallMolecule	5	['has_part', 'location_of', 'affected_by', 'produces', 'disrupted_by']
ChemicalEntity	GrossAnatomicalStructure	5	['part_of', 'affects', 'located_in', 'produced_by', 'disrupts']
GrossAnatomicalStructure	ChemicalEntity	5	['has_part', 'affected_by', 'location_of', 'produces', 'disrupted_by']
ChemicalEntity	SmallMolecule	5	['coexists_with', 'interacts_with', 'affects', 'affected_by', 'derives_from']
GrossAnatomicalStructure	Polypeptide	5	['location_of', 'has_part', 'affected_by', 'produces', 'disrupted_by']
SmallMolecule	MolecularActivity	5	['related_to', 'participates_in', 'disrupts', 'affects', 'affected_by']
CellularComponent	Polypeptide	5	['location_of', 'has_part', 'affected_by', 'produces', 'disrupted_by']
GrossAnatomicalStructure	SmallMolecule	5	['location_of', 'has_part', 'affected_by', 'produces', 'disrupted_by']
Polypeptide	CellularComponent	5	['located_in', 'part_of', 'affects', 'produced_by', 'disrupts']
Polypeptide	GrossAnatomicalStructure	5	['located_in', 'part_of', 'affects', 'produced_by', 'disrupts']
SmallMolecule	GrossAnatomicalStructure	5	['located_in', 'part_of', 'affects', 'produced_by', 'disrupts']
Procedure	Procedure	5	['precedes', 'preceded_by', 'coexists_with', 'affects', 'affected_by']
SmallMolecule	ChemicalEntity	5	['coexists_with', 'interacts_with', 'affected_by', 'affects', 'derives_into']
PathologicalProcess	Drug	4	['treated_by', 'caused_by', 'prevented_by', 'affected_by']
PhenotypicFeature	ChemicalEntity	4	['caused_by', 'related_to', 'affected_by', 'has_predisposing_factor']
ChemicalEntity	PhysiologicalProcess	4	['produced_by', 'affects', 'disrupts', 'causes']
ChemicalEntity	CellularComponent	4	['part_of', 'affects', 'produced_by', 'located_in']
ChemicalEntity	PhenotypicFeature	4	['causes', 'related_to', 'affects', 'predisposes']
PhenotypicFeature	PathologicalProcess	4	['caused_by', 'has_predisposing_factor', 'manifestation_of', 'coexists_with']
Disease	Drug	4	['treated_by', 'prevented_by', 'caused_by', 'affected_by']
Protein	PhysiologicalProcess	4	['produced_by', 'disrupts', 'affects', 'causes']
PhysiologicalProcess	ChemicalEntity	4	['produces', 'affected_by', 'disrupted_by', 'caused_by']
PhysiologicalProcess	Gene	4	['caused_by', 'affected_by', 'disrupted_by', 'affects']
PhysiologicalProcess	Protein	4	['produces', 'disrupted_by', 'affected_by', 'caused_by']
CellularComponent	ChemicalEntity	4	['has_part', 'affected_by', 'produces', 'location_of']
CellularComponent	CellularComponent	4	['superclass_of', 'subclass_of', 'part_of', 'has_part']
Cell	PhysiologicalProcess	4	['location_of', 'affects', 'affected_by', 'contains_process']
MolecularActivity	SmallMolecule	4	['has_participant', 'disrupted_by', 'affected_by', 'affects']
PhysiologicalProcess	Cell	4	['located_in', 'affected_by', 'affects', 'occurs_in']
MolecularActivity	Gene	4	['enabled_by', 'affects', 'affected_by', 'disrupted_by']
Gene	PhysiologicalProcess	4	['causes', 'affects', 'disrupts', 'affected_by']
Drug	PathologicalProcess	4	['treats', 'causes', 'prevents', 'affects']
Drug	Disease	4	['treats', 'prevents', 'causes', 'affects']
Gene	MolecularActivity	4	['enables', 'affected_by', 'affects', 'disrupts']
PathologicalProcess	PhenotypicFeature	4	['causes', 'predisposes', 'has_manifestation', 'coexists_with']
Protein	SmallMolecule	3	['interacts_with', 'affected_by', 'coexists_with']
SmallMolecule	Protein	3	['interacts_with', 'affects', 'coexists_with']
SequenceVariant	Disease	3	['related_to', 'affects', 'contributes_to']
PhenotypicFeature	PhysiologicalProcess	3	['related_to', 'causes', 'manifestation_of']
Protein	Gene	3	['affects', 'interacts_with', 'coexists_with']
SmallMolecule	Procedure	3	['associated_with', 'preceded_by', 'precedes']
PhysiologicalProcess	PhenotypicFeature	3	['related_to', 'caused_by', 'has_manifestation']
Procedure	SmallMolecule	3	['associated_with', 'precedes', 'preceded_by']
Disease	SequenceVariant	3	['related_to', 'affected_by', 'contribution_from']
Polypeptide	MolecularActivity	3	['affects', 'disrupts', 'affected_by']
Disease	Food	3	['caused_by', 'affected_by', 'has_predisposing_factor']
MolecularActivity	PhysiologicalProcess	3	['causes', 'affects', 'caused_by']
MolecularActivity	Polypeptide	3	['affected_by', 'disrupted_by', 'affects']
Protein	Polypeptide	3	['interacts_with', 'affected_by', 'coexists_with']
Polypeptide	Protein	3	['interacts_with', 'affects', 'coexists_with']
Food	Disease	3	['causes', 'affects', 'predisposes']
PathologicalProcess	Food	3	['caused_by', 'affected_by', 'related_to']
Gene	Protein	3	['affected_by', 'interacts_with', 'coexists_with']
PhysiologicalProcess	MolecularActivity	3	['caused_by', 'affected_by', 'causes']
Food	PathologicalProcess	3	['causes', 'affects', 'related_to']
Protein	GrossAnatomicalStructure	2	['located_in', 'part_of']
MolecularActivity	ChemicalEntity	2	['disrupted_by', 'affected_by']
Protein	Disease	2	['produced_by', 'related_to']
PhysiologicalProcess	Procedure	2	['affected_by', 'is_exacerbated_by']
Disease	Protein	2	['produces', 'related_to']
SmallMolecule	ClinicalFinding	2	['correlated_with', 'related_to']
CellularComponent	Disease	2	['part_of', 'location_of']
Gene	ClinicalFinding	2	['correlated_with', 'related_to']
Polypeptide	Procedure	2	['preceded_by', 'precedes']
Procedure	Polypeptide	2	['precedes', 'preceded_by']
Procedure	PhysiologicalProcess	2	['affects', 'exacerbates']
PhysiologicalProcess	GrossAnatomicalStructure	2	['occurs_in', 'affects']
Disease	MolecularActivity	2	['coexists_with', 'related_to']
GrossAnatomicalStructure	PathologicalProcess	2	['location_of', 'disrupted_by']
GrossAnatomicalStructure	GrossAnatomicalStructure	2	['part_of', 'has_part']
ClinicalFinding	ClinicalFinding	2	['correlated_with', 'related_to']
MolecularActivity	Disease	2	['coexists_with', 'related_to']
Cell	Disease	2	['location_of', 'disrupted_by']
ClinicalFinding	Gene	2	['correlated_with', 'related_to']
PathologicalProcess	GrossAnatomicalStructure	2	['located_in', 'disrupts']
ClinicalFinding	SmallMolecule	2	['correlated_with', 'related_to']
GrossAnatomicalStructure	PhysiologicalProcess	2	['contains_process', 'affected_by']
ChemicalEntity	MolecularActivity	2	['disrupts', 'affects']
GrossAnatomicalStructure	Disease	2	['location_of', 'affected_by']
GrossAnatomicalStructure	Protein	2	['location_of', 'has_part']
Disease	GrossAnatomicalStructure	2	['located_in', 'affects']
Disease	Cell	2	['located_in', 'disrupts']
Disease	CellularComponent	2	['has_part', 'located_in']
Cell	GrossAnatomicalStructure	1	['part_of']
Procedure	MolecularActivity	1	['affects']
Protein	PathologicalProcess	1	['produced_by']
SmallMolecule	BiologicalProcess	1	['related_to']
Cell	PathologicalProcess	1	['disrupted_by']
BiologicalProcess	Gene	1	['has_participant']
Protein	CellularComponent	1	['part_of']
SequenceVariant	PhenotypicFeature	1	['related_to']
SequenceVariant	Gene	1	['is_sequence_variant_of']
Cell	CellularComponent	1	['has_part']
Protein	MolecularActivity	1	['affects']
Cell	MolecularActivity	1	['contains_process']
Cell	Cell	1	['interacts_with']
Food	PhysiologicalProcess	1	['affects']
Procedure	GrossAnatomicalStructure	1	['located_in']
Cell	Procedure	1	['location_of']
ChemicalEntity	Procedure	1	['preceded_by']
PathologicalProcess	CellularComponent	1	['disrupts']
PathologicalProcess	Cell	1	['disrupts']
MolecularActivity	Protein	1	['affected_by']
MolecularActivity	Procedure	1	['affected_by']
MolecularActivity	CellularComponent	1	['located_in']
MolecularActivity	Cell	1	['occurs_in']
GrossAnatomicalStructure	Procedure	1	['location_of']
GrossAnatomicalStructure	PhenotypicFeature	1	['location_of']
GrossAnatomicalStructure	CellularComponent	1	['has_part']
GrossAnatomicalStructure	Cell	1	['has_part']
Gene	SequenceVariant	1	['has_sequence_variant']
Disease	Pathway	1	['actively_involves']
Gene	Pathway	1	['participates_in']
Disease	Treatment	1	['related_to']
PathologicalProcess	Protein	1	['produces']
Pathway	Disease	1	['actively_involved_in']
Pathway	Gene	1	['has_participant']
CellularComponent	PathologicalProcess	1	['disrupted_by']
Procedure	ChemicalEntity	1	['precedes']
Procedure	CellularComponent	1	['located_in']
Procedure	Cell	1	['located_in']
CellularComponent	Cell	1	['part_of']
CellularComponent	GrossAnatomicalStructure	1	['part_of']
CellularComponent	MolecularActivity	1	['location_of']
CellularComponent	PhysiologicalProcess	1	['affects']
PhenotypicFeature	GrossAnatomicalStructure	1	['located_in']
CellularComponent	Procedure	1	['location_of']
CellularComponent	Protein	1	['has_part']
PhysiologicalProcess	Food	1	['affected_by']
PhysiologicalProcess	CellularComponent	1	['affected_by']
Gene	BiologicalProcess	1	['participates_in']
PhenotypicFeature	SequenceVariant	1	['related_to']
Treatment	Disease	1	['related_to']
